0.01666667,0
0.03333334,0
0.05,0
0.06666667,0
0.08333334,0
0.1,0
0.1166667,0
0.1333333,0
0.15,0
0.1666667,0
0.1833333,0
0.2,-0.0001979203
0.2166667,-0.0005602399
0.2333333,-0.0008784355
0.25,-0.0001426533
0.2666667,0.0006255464
0.2833334,0.001393993
0.3,-0.0007691637
0.3166667,-0.0004181501
0.3333334,-0.0004375808
0.3500001,-0.0004833294
0.3666668,-0.0005499672
0.3833334,-0.0006330806
0.4000001,-0.001067104
0.4166668,-0.0004545861
0.4333335,-0.004173644
0.4500002,0.0001553625
0.4666668,-6.571392E-05
0.4833335,0.0002273828
0.5000002,0.001101976
0.5166668,0.001517212
0.5333335,0.001786482
0.5500001,0.00265575
0.5666668,0.003509694
0.5833334,0.004358347
0.6000001,0.005206037
0.6166667,0.006055207
0.6333334,0.006907486
0.65,0.007764236
0.6666667,0.009760484
0.6833333,0.01520972
0.7,0.01168859
0.7166666,0.01329662
0.7333333,0.01265879
0.7499999,0.01094991
0.7666666,0.01489163
0.7833332,0.01232636
0.7999999,0.01227524
0.8166665,0.01339187
0.8333332,0.01189109
0.8499998,0.01285605
0.8666665,0.01379503
0.8833331,0.0147191
0.8999998,0.01563326
0.9166664,0.01653987
0.9333331,0.01744013
0.9499997,0.01833451
0.9666664,0.01922374
0.9833331,0.02010822
0.9999997,117.4568
1.016666,117.2127
1.033333,116.9682
1.05,116.7232
1.066666,116.4804
1.083333,116.2388
1.1,115.9855
1.116666,115.735
1.133333,115.4933
1.15,115.2693
1.166666,115.0306
1.183333,114.7923
1.2,114.5494
1.216666,114.314
1.233333,114.0732
1.25,113.8392
1.266666,113.6031
1.283333,113.3713
1.299999,113.1397
1.316666,112.904
1.333333,112.6737
1.349999,112.4625
1.366666,112.2476
1.383333,112.0086
1.399999,111.7932
1.416666,111.5783
1.433333,111.3449
1.449999,111.1137
1.466666,110.8816
1.483333,110.6555
1.499999,110.437
1.516666,110.2332
1.533333,110.0106
1.549999,109.7929
1.566666,109.5732
1.583333,109.3481
1.599999,109.1314
1.616666,108.9131
1.633332,108.7036
1.649999,108.4886
1.666666,108.2746
1.683332,108.0627
1.699999,107.8598
1.716666,107.6496
1.733332,107.441
1.749999,107.2357
1.766666,107.0288
1.783332,106.8185
1.799999,106.6066
1.816666,106.3927
1.833332,106.1763
1.849999,105.9635
1.866666,105.7522
1.883332,105.555
1.899999,105.3453
1.916666,105.1376
1.933332,104.9366
1.949999,104.7418
1.966666,104.5419
1.983332,104.342
1.999999,104.1381
2.016665,103.9379
2.033332,103.7402
2.049999,103.5429
2.066665,103.3473
2.083332,103.1503
2.099999,102.9584
2.116665,102.7634
2.133332,102.5652
2.149999,102.3741
2.166665,102.1808
2.183332,101.9854
2.199999,101.7891
2.216665,101.5972
2.233332,101.4053
2.249999,101.2114
2.266665,101.0209
2.283332,100.8311
2.299999,100.6431
2.316665,100.4573
2.333332,100.2759
2.349998,100.0943
2.366665,99.90904
2.383332,99.71783
2.399998,99.52481
2.416665,99.33409
2.433332,99.14832
2.449998,98.95329
2.466665,98.75414
2.483332,98.5573
2.499998,98.37175
2.516665,98.17419
2.533332,97.99026
2.549998,97.80514
2.566665,97.6252
2.583332,97.43966
2.599998,97.25758
2.616665,97.08626
2.633332,96.90807
2.649998,96.7308
2.666665,96.55021
2.683331,96.3673
2.699998,96.19026
2.716665,96.00372
2.733331,95.82966
2.749998,95.64428
2.766665,95.46027
2.783331,95.28303
2.799998,95.10368
2.816665,94.91762
2.833331,94.73013
2.849998,94.54745
2.866665,94.36124
2.883331,94.16856
2.899998,93.98145
2.916665,93.83343
2.933331,93.66632
2.949998,93.49081
